丑	チュウ	Знак Быка	チュウ    うし	ひろ		sign of the ox or cow, 1-3AM, second sign of Chinese zodiac 
丞	ジョウ	Имена	ジョウ    ショウ    すく.う    たす.ける	すけ		help 
乃	ナイ ダイ	Родительный падеж	ナイ    ダイ    ノ    アイ    の    すなわ.ち    なんじ	おさむ    お    のり		from, possessive particle, whereupon, accordingly 
之	シ	Родительный падеж	シ    の    これ    おいて    ゆく    この	ゆき    いたる    あき    つな    ゆみ		of, this 
乍	サ	В то время как	サ    サク    -なが.ら    たちま.ち			though, notwithstanding, while, during, both, all 
乎	コ	Знак вопроса	コ    オ    か    ああ    かな    や    よ    を			question mark, ? 
也	ヤ	Является	ヤ    エ    なり    か    また	し		to be (classical) 
云	ウン	Такой как	ウン    い.う    ここに			say 
亘	コウ	Тянуться	コウ    カン    わた.る    もと.める	せん    のぶ    とうる    わたる    ひさし		span, request 
亙	コウ	Тянуться	コウ    カン    わた.る    もと.める	のぶ		range, reach, extend, cover 
些	サ	Пустяковый	サ    シャ    ち.と    ち.っと    いささか			a little bit, sometimes 
亥	ガイ	Знак Кабана	ガイ    カイ    い	り		sign of the hog, 9-11PM, twelfth sign of the Chinese zodiac 
亦	エキ	Тоже	エキ    ヤク    また			also, again 
亨	キョウ	Благополучие	コウ    キョウ    ホウ    たてまつ.る	とうる    みち    ゆき    あきら    なが    あき    とおる    とおるふ		undergo, answer (phone), take, get, catch 
亮	リョウ	Имена	リョウ    あきらか	あき    すけ    まこと    あきら    よし    きょう    たすく    ふさ		clear, help 
什	ジュウ	Утварь	ジュウ    シュウ			utensil, thing, ten 
仇	キュウ	Враг	キュウ    グ    あだ    あた    かたき    つれあい			foe, enemy, revenge, grudge, feud 
仔	シ	Детёныш	シ    こ    た.える			offspring 
伊	イ	Италия	イ    かれ	これ    ただ    よし    いと    だ		Italy, that one 
伍	ゴ	Пять солдат	ゴ    いつつ	くみ    あつむ		5, 5-man squad, file, line 
伶	レイ	Придворный музыкант	レイ    リョウ    わざおぎ	れ		actor 
伽	カ	Сказочный	カ    ガ    キャ    ギャ    とぎ			поддержание разговора, уход за больным
佃	テン	Цукуда	テン    デン    つくだ			cultivated rice field 
佑	ユウ	Помощь	ユウ    ウ    たす.ける	すけ    たすく    ゆ		help, assist 
佼	コウ	Секта Косэйкай	キョウ    コウ    こう.す    うつく.しい			прекрасный
侃	カン	Откровенный	カン    つよ.い	あきら    ただし		strong, just, righteous, peace-loving 
侑	ユウ	Угощать	ユウ    ウ    すす.める    たす.ける	あつむ    すすむ    ゆき    ゆ		urge to eat 
侠	キョウ	Рыцарство	キョウ    きゃん    おとこだて			tomboy, chivalry 
俄	ガ	Внезапно	ガ    にわか			sudden, abrupt, improvised 
俣		Разветвление	また	ばた		crotch, thigh, groin, (kokuji) 
倖	コウ	Счастье	コウ    しあわ.せ    さいわ.い			happiness, luck 
倦	ケン	Терять интерес	ケン    あき.る    あぐ.む    あぐ.ねる    う.む    つか.れる			lose interest in, tire of 
倭	ワ イ	Ямато	ワ    イ    したが.う	まさ    やす    やまと		Yamato, ancient Japan 
倶	グ ク	Вместе	グ    ク    とも.に			both 
偲	サイ	Вспоминать	サイ    シ    しの.ぶ			recollect, remember 
傭	ヨウ	Наём	ヨウ    チョウ    やと.う    あた.い    ひと.しい			employ, hire 
僑	キョウ	Временное жилище	キョウ	きゅう		temporary home 
僻	ヘキ	Предубеждение	ヘキ    ヒ    ヘイ    へき.する    ひが.む			prejudice, bias, rural area 
儘	ジン	Как есть	ジン    まま    ことごとく			as it is, because 
儚	ボウ	Преходящий	ボウ    モウ    はかな.い    くら.い			fleeting, fickle 
儲	チョ	Наживаться	チョ    もう.ける    もう.かる    もうけ    たくわ.える			be profitable, yield profit 
允	イン	Разрешение	イン    じょう    まこと.に    ゆるす	まこと    のぶ    まさ    みつ    すけ    よし    ちか    とも		license, sincerity, permit 
兇	キョウ	Злодейский	キョウ    おそ.れる    わる.い			wickedness 
兎	ト ツ	Заяц	ト    ツ    うさぎ			rabbit, hare 
兜	トウ	Шлем	トウ    ト    かぶと			helmet, head piece 
其	キ	Тот	キ    ギ    ゴ    そ.れ    そ.の			that 
冴	ゴ	быть ясным	ゴ    コ    さ.える    こお.る    ひ.える	さえ    さえる		be clear, serene, cold, skilful 
凋	チョウ	Вянуть	チョウ    しぼ.む			wither, droop, lame 
凌	リョウ	Преодолевать	リョウ    しの.ぐ			endure, keep (rain)out, stave off, tide over, defy, slight, surpass 
凜	リン	Жестокий холод	リン    きびし.い			cold, strict, severe 
凧		Воздушный змей	いかのぼり    たこ			kite, (kokuji) 
凪		Штиль	なぎ    な.ぐ			lull, calm, (kokuji) 
凰	オオ	Самка феникса	オオ    コウ    オウ    おおとり			female phoenix bird 
凱	ガイ	Триумф	ガイ    カイ    かちどき    やわらぐ			victory song 
函	カン    	Почтовый ящик	カン    はこ    い.れる			box (archaic) 
剃	テイ	Брить	テイ    まい    そ.る    す.る			shave 
劃	カク	Картина   План	カク    わ.かつ    かぎ.る			divide 
劉	リュウ	Имена	リュウ    ル    ころ.す	らう		axe, kill 
劫	ゴウ コウ	Кальпа	コウ    ゴウ    キョウ    おびや.かす			threat, long ages 
勁	ケイ	Сильный	ケイ    つよ.い			strong 
勺	シャク    	Мера ёмкости	シャク			ladle, one tenth of a go, dip 
勿	モチ	Конечно	モチ    ブツ    ボツ    なか.れ    なし			not, must not, do not, be not 
匁		Моммэ	もんめ    め    ひゃくめ			monme, 3.75 grams, (kokuji) 
匙	シ	Ложка	シ    さじ			spoon 
匝	ソウ	Кружиться	キョウ    ソウ    めぐ.る			go around 
匡	キョウ	Исправлять	キョウ    オウ    すく.う	ただ    ただし    ただす    まさ    まさし    きよ    ひと    やす		correct, save, assist 
匪	ヒ	Мятежник	ヒ    あら.ず    かたみ			negation, wicked person 
卜	ボク	Гадание	ボク    うらな.う    うらない	うら	ぼくのと	divining, fortune-telling 
卦	カ	Триграмма	カ    カイ    ケ    うらかた			a divination sign 
卯	ボウ	Знак Зайца	ボウ    モウ    う	あきら    しげる    い		sign of the hare or rabbit, 5-7AM, fourth sign of Chinese zodiac, east 
卿	ケイ キョウ	Лорд	ケイ    キョウ    きみ			you, lord, secretary, state minister 
厨	シュウ	Кухня	シュウ    ズ    チュ    チュウ    くりや			kitchen 
厩	キュウ	Конюшня	キュウ    うまや	まや    まら		barn, stable 
厭	エン	Не любить	エン    オン    アン    オウ    ユウ    ヨウ    いや    あ.きる    いと.う    おさ.える			get tired of, satiate, bore 
叉	サ	Разветвление	サ    シャ    サイ    また			fork in road, crotch 
叛	ハン	Восставать	ハン    ホン    そむ.く			disobey, defy, go back on, rebel, rebellion 
叡	エイ	Императорский	エイ    あき.らか			intelligence, imperial 
叢	ソウ	Заросли	ソウ    ス    くさむら    むら.がる    むら			plexus, clump of bushes, thicket 
叩	コウ	Колотить	コウ    たた.く    はた.く    すぎ			strike, beat, hit, thrash, criticize 
只	シ	Бесплатно	シ    ただ			only, free, in addition 
叶	キョウ	Исполняться	キョウ    かな.える    かな.う	かの    かのう		grant, answer 
吃	キツ	Заикаться	キツ    ども.る			stammer 
吊	チョウ	Подвешивать	チョウ    つ.る    つる.す			suspend, hang, wear (sword) 
吋	トウ	Дюйм	トウ    ドウ    スン    いんち			inch 
吠	ハイ	Лаять	ハイ    ベイ    ほえ.る    ほ.える			bark, howl, cry 
吻	フン	Хоботок	フン    ブン    くちわき    くちさき			proboscis 
吾	ゴ	Я	ゴ    われ    わが-    あ-	あ    あが		I, my, our, one's own 
呆	ホウ	Изумление	ホウ    ほけ.る    ぼ.ける    あき.れる    おろか			be amazed, disgusted, shocked 
呑	ドン	Глотать	トン    ドン    の.む			drink 
咳	ガイ	Кашель	カイ    ガイ    せ.く    しわぶ.く    せき    しわぶき			cough, clear throat 
哉	サイ	Ах!	サイ    かな    や	か    すけ    とし    ちか    はじめ		how, what, alas, "?" (question mark) 
哨	ショウ	Дозор	ショウ    みはり			scout, sentinel 
哩	リ	Миля	リ    まいる			mile 
唖	ア	Немой	ア    アク    おし			mute, dumb 
啄	タク	Клевать	タク    ツク    トク    ついば.む    つつ.く	くち    はし    ばし		peck, pick up 
喋	チョウ	Болтать	チョウ    トウ    しゃべ.る    ついば.む			talk, chat, chatter 
喧	ケン	Шумный	ケン    やかま.しい    かまびす.しい			noisy, boisterous 
喬	キョウ	Высокий	キョウ    たか.い	たかし    たか		high, boasting 
喰		Поедать	く.う    く.らう	じき		eat, drink, receive (a blow), (kokuji) 
嘉	カ	Восхищаться	カ    よみ.する    よい	ひろ    よし    よしみ    かず    よ		applaud, praise, esteem 
嘗	ショウ	Лизать	ショウ    ジョウ    かつ.て    こころ.みる    な.める			once, before, formerly, ever, never, ex-, lick, lap up, burn up, taste, undergo, underrate, despise 
嘘	キョ	Ложь	キョ    コ    うそ    ふ.く			lie, falsehood 
嘩	カ	Ссора	カ    ケ    かまびす.しい			noisy 
噂	ソン	Слухи	ソン    うわさ			rumor, gossip, hearsay 
噌	ソウ	Мисо	ソウ    ショウ    ソ    かまびす.しい			boisterous 
噛	ゴウ	Кусать	コウ    ゴウ    か.む    か.じる			chew, bite, gnaw 
噸	トン	Тонна				tonnage, (kokuji) 
噺		Рассказ	はなし			talk, (kokuji) 
嚢	ノウ	Мешочек	ノウ    ドウ    ふくろ			pouch, purse, bag 
圃	ホ	Заливное поле	ホ    フ    はたけ    にわ			garden, field 
圭	ケイ	Яшмовый скипетр	ケイ    ケ	か    きよ    たま    よし    かど    きよし		square jewel, corner, angle, edge 
坐	ザ	Сидеть	ザ    サ    すわ.る    おわす    そぞろに    まします			sit 
坤	コン	Юго-запад	コン    つち    ひつじさる			divination sign, land, earth 
坦	タン	Однообразный	タン    たいら	やす		level, wide 
垢	コウ	Грязь	コウ    ク    あか    はじ			dirt, grime, earwax 
埜	ヤ	Поле	ヤ    ショ    の			open country, field, wilderness 
埠	フ	Пристань	フ    ホ    つか    はとば			wharf 
埴	ショク	Глина	ショク    はに    へな			clay 
堰	エン	Плотина	エン    せき    せ.く			dam, prevent, stop up 
堵	ト	Ограда	ト    かき			fence, railing, enclosure 
堺	カイ	Сакаи	カイ    さかい			world 
塘	トウ	Запруда	トウ    つつみ	とも		dike, embankment 
塙	カク コウ	Утёс	カク    コウ    はなわ    かた.い	はな		projecting tableland or mountain 
塵	ジン	Пыль	チン    ジン    ちり    ごみ			dust, trash, garbage 
壕	ゴウ	Траншея	コウ    ゴウ    ほり			trench, dugout, air raid shelter 
壬	ジン	Девятый знак	ニン    ジン    イ    みずのえ			9th calendar sign 
壷	コ	Горшок	コ    つぼ			jar, pot, hinge knuckle, one's aim 
夙	シュク	Ранний	シュク    つとに    はやい			bright and early, long ago, early in life 
夷	イ	Варвар	イ    えびす    えみし    ころ.す    たい.らげる	し		barbarian, savage, Ainu 
奄	エン	Амами	エン    おお.う    たちまち	あま		cover 
奎	ケイ キ	Культура	ケイ    キ			star, god of literature 
套	トウ	Банальный	トウ    かさ.ねる			hackneyed 
妓	ギ	Куртизанка	ギ    キ    わざおぎ    うたいめ			stretch, singing girl, geisha, prostitute 
妾	ショウ	Содержанка	ショウ    めかけ    そばめ    わらわ			concubine 
姐	ソ	Старшая сестра	ソ    シャ    あね    ねえさん			elder sister, maidservant 
姑	コ	Свекровь	コ    しゅうとめ    しゅうと    おば    しばらく			mother-in-law 
姥	ボ	Старуха	ボ    モ    うば			old woman 
姦	カン	Разврат	カン    ケン    かん.する    かしま.しい    みだら			wicked, mischief, seduce, rape, noisy 
姪	テツ	Племянница	テツ    チツ    ジチ    イツ    イチ    めい    おい			niece 
姶	オオ	Город Айра	オオ    オウ    アイ    あい			good-looking, quiet 
娃	ア	Город Эи	ア    アイ    ワ    うつく.しい	い		beautiful 
娩	ベン	Роды	ベン			bear (children) 
娼	ショウ	Проститутка	ショウ    あそびめ			prostitute 
婁	ル ロウ	Китайское созвездие	ル    ロウ    つな.ぐ    ひ.く	ろ		frequently, tie 
嬉	キ	Радостный	キ    うれ.しい    たの.しむ	うらし    うれし		glad, pleased, rejoice 
嬬	ジュ	Деревня Цумагои	ジュ    よわ.い	つま		mistress, weak 
嬰	エイ	Диез	エイ    ふ.れる    みどりご    あかご			sharp (music), baby 
孜	シ	Рьяно	シ    つと.める			industriousness 
孟	モウ	Мэн-цзы	モウ    ボウ    ミョウ    かしら	たけし    たけ    はる    はじめ    つとむ    おさ    はい		chief, beginning 
宋	ソウ	Династия Сун	ソウ			dwell, Sung dynasty 
宍	ニク	Мясо	ニク    ジク    しし	し    しん		muscles, meat 
宏	コウ	Обширный	コウ    ひろ.い	あつ    ひろ    ひろし		wide, large 
宕	トウ	Своевольный	トウ    すぎる			cave 
宥	ユウ	Утихомиривать	ユウ    なだ.める    ゆる.す			soothe, calm, pacify 
