Id	New	Old	Radical	Strokes	Grade
1	亜	亞	二	7	S
2	哀		口	9	S
3	挨		手	10	S
4	愛		心	13	4
5	曖		日	17	S
6	悪	惡	心	11	3
7	握		手	12	S
8	圧	壓	土	5	5
9	扱		手	6	S
10	宛		宀	8	S
11	嵐		山	12	S
12	安		宀	6	3
13	案		木	10	4
14	暗		日	13	3
15	以		人	5	4
16	衣		衣	6	4
17	位		人	7	4
18	囲	圍	囗	7	4
19	医	醫	酉	7	3
20	依		人	8	S
21	委		女	8	3
22	威		女	9	S
23	為	爲	爪	9	S
24	畏		田	9	S
25	胃		肉	9	4
26	尉		寸	11	S
27	異		田	11	6
28	移		禾	11	5
29	萎		艸	11	S
30	偉		人	12	S
31	椅		木	12	S
32	彙		彐	13	S
33	意		心	13	3
34	違		辵	13	S
35	維		糸	14	S
36	慰		心	15	S
37	遺		辵	15	6
38	緯		糸	16	S
39	域		土	11	6
40	育		肉	8	3
41	一		一	1	1
42	壱	壹	士	7	S
43	逸	逸	辵	11	S
44	茨		艸	9	S
45	芋		艸	6	S
46	引		弓	4	2
47	印		卩	6	4
48	因		囗	6	5
49	咽		口	9	S
50	姻		女	9	S
51	員		口	10	3
52	院		阜	10	3
53	淫		水	11	S
54	陰		阜	11	S
55	飲		食	12	3
56	隠	隱	阜	14	S
57	韻		音	19	S
58	右		口	5	1
59	宇		宀	6	6
60	羽		羽	6	2
61	雨		雨	8	1
62	唄		口	10	S
63	鬱		鬯	29	S
64	畝		田	10	S
65	浦		水	10	S
66	運		辵	12	3
67	雲		雨	12	2
68	永		水	5	5
69	泳		水	8	3
70	英		艸	8	4
71	映		日	9	6
72	栄	榮	木	9	4
73	営	營	火	12	5
74	詠		言	12	S
75	影		彡	15	S
76	鋭		金	15	S
77	衛	衞	行	16	5
78	易		日	8	5
79	疫		疒	9	S
80	益		皿	10	5
81	液		水	11	5
82	駅	驛	馬	14	3
83	悦		心	10	S
84	越		走	12	S
85	謁	謁	言	15	S
86	閲		門	15	S
87	円	圓	囗	4	1
88	延		廴	8	6
89	沿		水	8	6
90	炎		火	8	S
91	怨		心	9	S
92	宴		宀	10	S
93	媛		女	12	S
94	援		手	12	S
95	園		囗	13	2
96	煙		火	13	S
97	猿		犬	13	S
98	遠		辵	13	2
99	鉛		金	13	S
100	塩	鹽	鹵	13	4
101	演		水	14	5
102	縁	緣	糸	15	S
103	艶	艷	色	19	S
104	汚		水	6	S
105	王		玉	4	1
106	凹		凵	5	S
107	央		大	5	3
108	応	應	心	7	5
109	往		彳	8	5
110	押		手	8	S
111	旺		日	8	S
112	欧	歐	欠	8	S
113	殴	毆	殳	8	S
114	桜	櫻	木	10	5
115	翁		羽	10	S
116	奥	奧	大	12	S
117	横	橫	木	15	3
118	岡		山	8	S
119	屋		尸	9	3
120	億		人	15	4
121	憶		心	16	S
122	臆		肉	17	S
123	虞		虍	13	S
124	乙		乙	1	S
125	俺		人	10	S
126	卸		卩	9	S
127	音		音	9	1
128	恩		心	10	5
129	温	溫	水	12	3
130	穏	穩	禾	16	S
131	下		一	3	1
132	化		匕	4	3
133	火		火	4	1
134	加		力	5	4
135	可		口	5	5
136	仮	假	人	6	5
137	何		人	7	2
138	花		艸	7	1
139	佳		人	8	S
140	価	價	人	8	5
141	果		木	8	4
142	河		水	8	5
143	苛		艸	8	S
144	科		禾	9	2
145	架		木	9	S
146	夏		夊	10	2
147	家		宀	10	2
148	荷		艸	10	3
149	華		艸	10	S
150	菓		艸	11	S
151	貨		貝	11	4
152	渦		水	12	S
153	過		辵	12	5
154	嫁		女	13	S
155	暇		日	13	S
156	禍	禍	示	13	S
157	靴		革	13	S
158	寡		宀	14	S
159	歌		欠	14	2
160	箇		竹	14	S
161	稼		禾	15	S
162	課		言	15	4
163	蚊		虫	10	S
164	牙		牙	4	S
165	瓦		瓦	5	S
166	我		戈	7	6
167	画	畫	田	8	2
168	芽		艸	8	4
169	賀		貝	12	5
170	雅		隹	13	S
171	餓		食	15	S
172	介		人	4	S
173	回		囗	6	2
174	灰		火	6	6
175	会	會	曰	6	2
176	快		心	7	5
177	戒		戈	7	S
178	改		攴	7	4
179	怪		心	8	S
180	拐		手	8	S
181	悔	悔	心	9	S
182	海	海	水	9	2
183	界		田	9	3
184	皆		白	9	S
185	械		木	11	4
186	絵	繪	糸	12	2
187	開		門	12	3
188	階		阜	12	3
189	塊		土	13	S
190	楷		木	13	S
191	解		角	13	5
192	潰		水	15	S
193	壊	壞	土	16	S
194	懐	懷	心	16	S
195	諧		言	16	S
196	貝		貝	7	1
197	外		夕	5	2
198	劾		力	8	S
199	害		宀	10	4
200	崖		山	11	S
201	涯		水	11	S
202	街		行	12	4
203	慨	慨	心	13	S
204	蓋		艸	13	S
205	該		言	13	S
206	概	槪	木	14	S
207	骸		骨	16	S
208	垣		土	9	S
209	柿		木	9	S
210	各		口	6	4
211	角		角	7	2
212	拡	擴	手	8	6
213	革		革	9	6
214	格		木	10	5
215	核		木	10	S
216	殻	殼	殳	11	S
217	郭		邑	11	S
218	覚	覺	見	12	4
219	較		車	13	S
220	隔		阜	13	S
221	閣		門	14	6
222	確		石	15	5
223	獲		犬	16	S
224	嚇		口	17	S
225	穫		禾	18	S
226	学	學	子	8	1
227	岳	嶽	山	8	S
228	楽	樂	木	13	2
229	額		頁	18	5
230	顎		頁	18	S
231	掛		手	11	S
232	潟		水	15	S
233	括		手	9	S
234	活		水	9	2
235	喝	喝	口	11	S
236	渇	渴	水	11	S
237	割		刀	12	6
238	葛		艸	12	S
239	滑		水	13	S
240	褐	褐	衣	13	S
241	轄		車	17	S
242	且		一	5	S
243	株		木	10	6
244	釜		金	10	S
245	鎌		金	18	S
246	刈		刀	4	S
247	干		干	3	6
248	刊		刀	5	5
249	甘		甘	5	S
250	汗		水	6	S
251	缶	罐	缶	6	S
252	完		宀	7	4
253	肝		肉	7	S
254	官		宀	8	4
255	冠		冖	9	S
256	巻	卷	卩	9	6
257	看		目	9	6
258	陥	陷	阜	10	S
259	乾		乙	11	S
260	勘		力	11	S
261	患		心	11	S
262	貫		貝	11	S
263	寒		宀	12	3
264	喚		口	12	S
265	堪		土	12	S
266	換		手	12	S
267	敢		攴	12	S
268	棺		木	12	S
269	款		欠	12	S
270	間		門	12	2
271	閑		門	12	S
272	勧	勸	力	13	S
273	寛	寬	宀	13	S
274	幹		干	13	5
275	感		心	13	3
276	漢	漢	水	13	3
277	慣		心	14	5
278	管		竹	14	4
279	関	關	門	14	4
280	歓	歡	欠	15	S
281	監		皿	15	S
282	緩		糸	15	S
283	憾		心	16	S
284	還		辵	16	S
285	館		食	16	3
286	環		玉	17	S
287	簡		竹	18	6
288	観	觀	見	18	4
289	韓		韋	18	S
290	艦		舟	21	S
291	鑑		金	23	S
292	丸		丶	3	2
293	含		口	7	S
294	岸		山	8	3
295	岩		山	8	2
296	玩		玉	8	S
297	眼		目	11	5
298	頑		頁	13	S
299	顔		頁	18	2
300	願		頁	19	4
301	企		人	6	S
302	伎		人	6	S
303	危		卩	6	6
304	机		木	6	6
305	気	氣	气	6	1
306	岐		山	7	S
307	希		巾	7	4
308	忌		心	7	S
309	汽		水	7	2
310	奇		大	8	S
311	祈	祈	示	8	S
312	季		子	8	4
313	紀		糸	9	4
314	軌		車	9	S
315	既	既	无	10	S
316	記		言	10	2
317	起		走	10	3
318	飢		食	10	S
319	鬼		鬼	10	S
320	帰	歸	止	10	2
321	基		土	11	5
322	寄		宀	11	5
323	規		見	11	5
324	亀	龜	龜	11	S
325	喜		口	12	4
326	幾		幺	12	S
327	揮		手	12	6
328	期		月	12	3
329	棋		木	12	S
330	貴		貝	12	6
331	棄		木	13	S
332	毀		殳	13	S
333	旗		方	14	4
334	器	器	口	15	4
335	畿		田	15	S
336	輝		車	15	S
337	機		木	16	4
338	騎		馬	18	S
339	技		手	7	5
340	宜		宀	8	S
341	偽	僞	人	11	S
342	欺		欠	12	S
343	義		羊	13	5
344	疑		疋	14	6
345	儀		人	15	S
346	戯	戲	戈	15	S
347	擬		手	17	S
348	犠	犧	牛	17	S
349	議		言	20	4
350	菊		艸	11	S
351	吉		口	6	S
352	喫		口	12	S
353	詰		言	13	S
354	却		卩	7	S
355	客		宀	9	3
356	脚		肉	11	S
357	逆		辵	9	5
358	虐		虍	9	S
359	九		乙	2	1
360	久		丿	3	5
361	及		又	3	S
362	弓		弓	3	2
363	丘		一	5	S
364	旧	舊	臼	5	5
365	休		人	6	1
366	吸		口	6	6
367	朽		木	6	S
368	臼		臼	6	S
369	求		水	7	4
370	究		穴	7	3
371	泣		水	8	4
372	急		心	9	3
373	級		糸	9	3
374	糾		糸	9	S
375	宮		宀	10	3
376	救		攴	11	4
377	球		玉	11	3
378	給		糸	12	4
379	嗅		口	13	S
380	窮		穴	15	S
381	牛		牛	4	2
382	去		厶	5	3
383	巨		工	5	S
384	居		尸	8	5
385	拒		手	8	S
386	拠	據	手	8	S
387	挙	擧	手	10	4
388	虚	虛	虍	11	S
389	許		言	11	5
390	距		足	12	S
391	魚		魚	11	2
392	御		彳	12	S
393	漁		水	14	4
394	凶		凵	4	S
395	共		八	6	4
396	叫		口	6	S
397	狂		犬	7	S
398	京		亠	8	2
399	享		亠	8	S
400	供		人	8	6
401	協		十	8	4
402	況		水	8	S
403	峡	峽	山	9	S
404	挟	挾	手	9	S
405	狭	狹	犬	9	S
406	恐		心	10	S
407	恭		心	10	S
408	胸		肉	10	6
409	脅		肉	10	S
410	強		弓	11	2
411	教		攴	11	2
412	郷	鄕	邑	11	6
413	境		土	14	5
414	橋		木	16	3
415	矯		矢	17	S
416	鏡		金	19	4
417	競		立	20	4
418	響	響	音	20	S
419	驚		馬	22	S
420	仰		人	6	S
421	暁	曉	日	12	S
422	業		木	13	3
423	凝		冫	16	S
424	曲		曰	6	3
425	局		尸	7	3
426	極		木	12	4
427	玉		玉	5	1
428	巾		巾	3	S
429	斤		斤	4	S
430	均		土	7	5
431	近		辵	7	2
432	金		金	8	1
433	菌		艸	11	S
434	勤	勤	力	12	6
435	琴		玉	12	S
436	筋		竹	12	6
437	僅		人	13	S
438	禁		示	13	5
439	緊		糸	15	S
440	錦		金	16	S
441	謹	謹	言	17	S
442	襟		衣	18	S
443	吟		口	7	S
444	銀		金	14	3
445	区	區	匸	4	3
446	句		口	5	5
447	苦		艸	8	3
448	駆	驅	馬	14	S
449	具		八	8	3
450	惧		心	11	S
451	愚		心	13	S
452	空		穴	8	1
453	偶		人	11	S
454	遇		辵	12	S
455	隅		阜	12	S
456	串		丨	7	S
457	屈		尸	8	S
458	掘		手	11	S
459	窟		穴	13	S
460	熊		火	14	S
461	繰		糸	19	S
462	君		口	7	3
463	訓		言	10	4
464	勲	勳	力	15	S
465	薫	薰	艸	16	S
466	軍		車	9	4
467	郡		邑	10	4
468	群		羊	13	5
469	兄		儿	5	2
470	刑		刀	6	S
471	形		彡	7	2
472	系		糸	7	6
473	径	徑	彳	8	4
474	茎	莖	艸	8	S
475	係		人	9	3
476	型		土	9	4
477	契		大	9	S
478	計		言	9	2
479	恵	惠	心	10	S
480	啓		口	11	S
481	掲	揭	手	11	S
482	渓	溪	水	11	S
483	経	經	糸	11	5
484	蛍	螢	虫	11	S
485	敬		攴	12	6
486	景		日	12	4
487	軽	輕	車	12	3
488	傾		人	13	S
489	携		手	13	S
490	継	繼	糸	13	S
491	詣		言	13	S
492	慶		心	15	S
493	憬		心	15	S
494	稽		禾	15	S
495	憩		心	16	S
496	警		言	19	6
497	鶏	鷄	鳥	19	S
498	芸	藝	艸	7	4
499	迎		辵	7	S
500	鯨		魚	19	S
501	隙		阜	13	S
502	劇		刀	15	6
503	撃	擊	手	15	S
504	激		水	16	6
505	桁		木	10	S
506	欠	缺	缶	4	4
507	穴		穴	5	6
508	血		血	6	3
509	決		水	7	3
510	結		糸	12	4
511	傑		人	13	S
512	潔		水	15	5
513	月		月	4	1
514	犬		犬	4	1
515	件		人	6	5
516	見		見	7	1
517	券		刀	8	5
518	肩		肉	8	S
519	建		廴	9	4
520	研	硏	石	9	3
521	県	縣	糸	9	3
522	倹	儉	人	10	S
523	兼		八	10	S
524	剣	劍	刀	10	S
525	拳		手	10	S
526	軒		車	10	S
527	健		人	11	4
528	険	險	阜	11	5
529	圏	圈	囗	12	S
530	堅		土	12	S
531	検	檢	木	12	5
532	嫌		女	13	S
533	献	獻	犬	13	S
534	絹		糸	13	6
535	遣		辵	13	S
536	権	權	木	15	6
537	憲		心	16	6
538	賢		貝	16	S
539	謙		言	17	S
540	鍵		金	17	S
541	繭		糸	18	S
542	顕	顯	頁	18	S
543	験	驗	馬	18	4
544	懸		心	20	S
545	元		儿	4	2
546	幻		幺	4	S
547	玄		玄	5	S
548	言		言	7	2
549	弦		弓	8	S
550	限		阜	9	5
551	原		厂	10	2
552	現		玉	11	5
553	舷		舟	11	S
554	減		水	12	5
555	源		水	13	6
556	厳	嚴	口	17	6
557	己		己	3	6
558	戸		戶	4	2
559	古		口	5	2
560	呼		口	8	6
561	固		囗	8	4
562	股		肉	8	S
563	虎		虍	8	S
564	孤		子	9	S
565	弧		弓	9	S
566	故		攴	9	5
567	枯		木	9	S
568	個		人	10	5
569	庫		广	10	3
570	湖		水	12	3
571	雇		隹	12	S
572	誇		言	13	S
573	鼓		鼓	13	S
574	錮		金	16	S
575	顧		頁	21	S
576	五		二	4	1
577	互		二	4	S
578	午		十	4	2
579	呉		口	7	S
580	後		彳	9	2
581	娯		女	10	S
582	悟		心	10	S
583	碁		石	13	S
584	語		言	14	2
585	誤		言	14	6
586	護		言	20	5
587	口		口	3	1
588	工		工	3	2
589	公		八	4	2
590	勾		勹	4	S
591	孔		子	4	S
592	功		力	5	4
593	巧		工	5	S
594	広	廣	广	5	2
595	甲		田	5	S
596	交		亠	6	2
597	光		儿	6	2
598	向		口	6	3
599	后		口	6	6
600	好		女	6	4
601	江		水	6	S
602	考		老	6	2
603	行		行	6	2
604	坑		土	7	S
605	孝		子	7	6
606	抗		手	7	S
607	攻		攴	7	S
608	更		曰	7	S
609	効	效	力	8	5
610	幸		干	8	3
611	拘		手	8	S
612	肯		肉	8	S
613	侯		人	9	S
614	厚		厂	9	5
615	恒	恆	心	9	S
616	洪		水	9	S
617	皇		白	9	6
618	紅		糸	9	6
619	荒		艸	9	S
620	郊		邑	9	S
621	香		香	9	S
622	候		人	10	4
623	校		木	10	1
624	耕		耒	10	5
625	航		舟	10	4
626	貢		貝	10	S
627	降		阜	10	6
628	高		高	10	2
629	康		广	11	4
630	控		手	11	S
631	梗		木	11	S
632	黄	黃	黃	11	2
633	喉		口	12	S
634	慌		心	12	S
635	港		水	12	3
636	硬		石	12	S
